term,coef,se,p,event_time,arm,n_authors,n_obs,split,subgroup,outcome,table,vs_subgroup,diff_in_diff,z
k+6:HONEST_ERROR,-0.06638163816381959,0.06524386349748906,0.3089447322930823,6,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),active,subgroup_contrast,,,
k-3:AUTHOR_MISCONDUCT,0.19732707059100968,0.3243334835113222,0.5429169384695578,-3,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+0:AUTHOR_MISCONDUCT,-1.0395363768458767,0.8323093125390364,0.2116729639941215,0,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+1:AUTHOR_MISCONDUCT,-0.9916027438921396,0.41784398722043403,0.017637524186330467,1,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+2:AUTHOR_MISCONDUCT,-0.6117662960835385,0.2917041220062762,0.035974536369385746,2,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+3:AUTHOR_MISCONDUCT,-0.7775487446355686,0.44089963625692086,0.07780769909459462,3,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+4:AUTHOR_MISCONDUCT,-0.3051228331024263,0.4001119466437111,0.4457057678481693,4,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+5:AUTHOR_MISCONDUCT,-0.6327003007468069,0.4983178324975797,0.2042014178593654,5,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+6:AUTHOR_MISCONDUCT,-0.6103132497550166,0.3876557695791724,0.11540215230822626,6,AUTHOR_MISCONDUCT,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k-3:HONEST_ERROR,0.17530983867617106,0.4334809250398349,0.6859013802153799,-3,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+0:HONEST_ERROR,-0.5443813612130424,0.8506342472740201,0.5221913680669701,0,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+1:HONEST_ERROR,-1.0079277158485092,0.4652251952561251,0.0302701564629948,1,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+2:HONEST_ERROR,-0.44028248978744333,0.38569887439906786,0.2536541216470889,2,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+3:HONEST_ERROR,-0.6374022017586465,0.49691655385577405,0.19959202430885448,3,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+4:HONEST_ERROR,-0.6043065845046056,0.4602024305548769,0.18913843861533453,4,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+5:HONEST_ERROR,-0.4587343349719648,0.5564017956282068,0.4096748553921139,5,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k+6:HONEST_ERROR,-0.43460499896143906,0.47222194882813984,0.35739483512483794,6,HONEST_ERROR,1074.0,10740.0,career_band,early (<5y),publications,subgroup_contrast,,,
k-3:AUTHOR_MISCONDUCT,0.04359096188364195,0.03222526178828112,0.17615297549844122,-3,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+0:AUTHOR_MISCONDUCT,0.05588902966951771,0.029031603026037082,0.054215596591429716,0,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+1:AUTHOR_MISCONDUCT,-0.045491500369551505,0.029216603763116075,0.11946034164002994,1,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+2:AUTHOR_MISCONDUCT,-0.03134568683349353,0.03247052878535622,0.33436549794900916,2,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+3:AUTHOR_MISCONDUCT,-0.056680920705313394,0.032007716090808117,0.07658535431280722,3,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+4:AUTHOR_MISCONDUCT,-0.07177172421075104,0.029769858394768964,0.015913837301199107,4,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+5:AUTHOR_MISCONDUCT,-0.04796220040122653,0.031848178812637545,0.13207649894748252,5,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+6:AUTHOR_MISCONDUCT,-0.04268820610284262,0.02717615839651077,0.11622999705444981,6,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k-3:HONEST_ERROR,0.03054149240589683,0.03516168904320281,0.38506518728160444,-3,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+0:HONEST_ERROR,0.06256878714505877,0.03064248374572089,0.04116177691400735,0,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+1:HONEST_ERROR,-0.02413970210580584,0.030967607775119484,0.4356766459384316,1,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+2:HONEST_ERROR,-0.005594687798079001,0.03423538219402807,0.8701890989237422,2,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+3:HONEST_ERROR,-0.02753320126201683,0.034221050448815134,0.42106835402661114,3,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+4:HONEST_ERROR,-0.06942915841221117,0.031681868500637214,0.028419409238587656,4,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+5:HONEST_ERROR,-0.00607161200381693,0.03458984127545229,0.8606619016447838,5,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k+6:HONEST_ERROR,-0.019352116809745752,0.03007768676348104,0.5199617117824795,6,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),active,subgroup_contrast,,,
k-3:AUTHOR_MISCONDUCT,0.4180339985218102,0.2018572309945302,0.03836450324874008,-3,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+0:AUTHOR_MISCONDUCT,-0.9997465948685291,0.42576577718830744,0.018868743733079896,0,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+1:AUTHOR_MISCONDUCT,-1.2906213704994083,0.5566507626881876,0.020419571288205596,1,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+2:AUTHOR_MISCONDUCT,-0.7154101995565273,0.3729247207192943,0.05506322777919692,2,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+3:AUTHOR_MISCONDUCT,-0.6808626333016377,0.30960360978606444,0.027867750760948606,3,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+4:AUTHOR_MISCONDUCT,-0.6104925562242466,0.39411583803993144,0.12137737541498739,4,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+5:AUTHOR_MISCONDUCT,-0.5889847956920968,0.4369782454459447,0.17770393246567262,5,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+6:AUTHOR_MISCONDUCT,0.006559497413169801,0.5845640344448982,0.9910469827556883,6,AUTHOR_MISCONDUCT,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k-3:HONEST_ERROR,0.2593733949666227,0.2730498669305189,0.34215687625358915,-3,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+0:HONEST_ERROR,-0.7674260767480914,0.46322939009757436,0.09758278655096397,0,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+1:HONEST_ERROR,-1.077885391444702,0.5900998381560332,0.06775763168065296,1,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+2:HONEST_ERROR,-0.2910888546481602,0.4191720188484455,0.4874077550375744,2,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+3:HONEST_ERROR,-0.22287034998897332,0.36043837023148484,0.5363569296877468,3,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+4:HONEST_ERROR,-0.4079536282925921,0.4361734552550323,0.3496330118012836,4,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+5:HONEST_ERROR,-0.40358793748622507,0.4693847617607011,0.38988647376037777,5,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k+6:HONEST_ERROR,-0.18168977914739293,0.5509779086479341,0.7415822681924151,6,HONEST_ERROR,2810.0,28100.0,career_band,mid (5-10y),publications,subgroup_contrast,,,
k-3:AUTHOR_MISCONDUCT,0.038563928672345774,0.015092821897390453,0.01061520524120052,-3,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+0:AUTHOR_MISCONDUCT,0.06037046951917775,0.025578542668439282,0.018265098135709312,0,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+1:AUTHOR_MISCONDUCT,0.006027008135157844,0.02044720904702901,0.7681776434565297,1,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+2:AUTHOR_MISCONDUCT,-0.005497012691499749,0.014802974656581671,0.7103804810199452,2,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+3:AUTHOR_MISCONDUCT,-0.018291264944994976,0.01405292803033723,0.1930537969903754,3,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+4:AUTHOR_MISCONDUCT,-0.010264943640664975,0.013094550153234819,0.43309315331285836,4,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+5:AUTHOR_MISCONDUCT,-0.033698651621287434,0.012690208119006048,0.007919456070148767,5,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+6:AUTHOR_MISCONDUCT,-0.007292845467121313,0.013853402681088731,0.5985895417029425,6,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k-3:HONEST_ERROR,0.03878678829618642,0.016890609195654258,0.021655749289406945,-3,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+0:HONEST_ERROR,0.06151479017838014,0.02378928766575043,0.009714795269298415,0,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+1:HONEST_ERROR,0.015069566240319725,0.019616246772105096,0.4423573065769717,1,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+2:HONEST_ERROR,0.005262918680752838,0.016346278867755366,0.7474797193414953,2,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+3:HONEST_ERROR,-0.010561930530010446,0.01482027534936666,0.47605145063660537,3,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+4:HONEST_ERROR,-0.01585826881122668,0.015096880935113485,0.29351887064539706,4,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+5:HONEST_ERROR,-0.01911200111220605,0.014284613982555552,0.18091497678174662,5,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k+6:HONEST_ERROR,-0.010465682080679703,0.015090266607581067,0.4879716230341118,6,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),active,subgroup_contrast,,,
k-3:AUTHOR_MISCONDUCT,0.303742315404084,0.2151064878719147,0.15793359806783913,-3,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+0:AUTHOR_MISCONDUCT,-0.2561836745178673,0.3581189271700533,0.47438710750570623,0,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+1:AUTHOR_MISCONDUCT,-0.2811434854501128,0.317033217109606,0.37518925680908843,1,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+2:AUTHOR_MISCONDUCT,-0.491914696422097,0.2860235352358262,0.08546154239768877,2,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+3:AUTHOR_MISCONDUCT,-0.4477567469636531,0.3709015172979558,0.22735052637498465,3,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+4:AUTHOR_MISCONDUCT,-0.28294236029141884,0.3311524525364295,0.39287385402982,4,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+5:AUTHOR_MISCONDUCT,-0.5771229562388407,0.4345563032008277,0.18415364014140434,5,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+6:AUTHOR_MISCONDUCT,-0.4198498503979381,0.5927389433501878,0.4787455102419349,6,AUTHOR_MISCONDUCT,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k-3:HONEST_ERROR,0.33612498395859786,0.24069193163388167,0.1625656041396919,-3,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+0:HONEST_ERROR,0.14033692304404918,0.353479046023258,0.6913554822668431,0,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+1:HONEST_ERROR,-0.03663456602641374,0.32165957343294355,0.909323126698564,1,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+2:HONEST_ERROR,-0.012051107926568189,0.3131899848941688,0.9693061043307729,2,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+3:HONEST_ERROR,-0.07084821619538104,0.39393609113105904,0.8572727004015785,3,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+4:HONEST_ERROR,-0.2284817876545113,0.3350792529708562,0.49531870804579525,4,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+5:HONEST_ERROR,-0.05853910895321618,0.47216011174487166,0.9013299395686536,5,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k+6:HONEST_ERROR,-0.11771319031523694,0.6167425716029765,0.8486331158538518,6,HONEST_ERROR,5585.0,55850.0,career_band,senior (10-20y),publications,subgroup_contrast,,,
k-3:AUTHOR_MISCONDUCT,0.03731898211305792,0.01383939372758001,0.007005633110939602,-3,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+0:AUTHOR_MISCONDUCT,0.018666201914698404,0.013229539712620067,0.15825973968866824,0,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+1:AUTHOR_MISCONDUCT,-0.009217313613427182,0.010601969608198834,0.3846303822710504,1,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+2:AUTHOR_MISCONDUCT,0.009001965179659756,0.013770227489150778,0.5132879073613217,2,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+3:AUTHOR_MISCONDUCT,-0.005977671873091908,0.013247447732893632,0.6518223737166731,3,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+4:AUTHOR_MISCONDUCT,-0.0032757000827349746,0.0156883081545727,0.8346052998895479,4,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+5:AUTHOR_MISCONDUCT,-0.00043169848815505923,0.013897794969266618,0.9752197973508487,5,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+6:AUTHOR_MISCONDUCT,-0.005469649893529134,0.015106729539675602,0.7173018816063053,6,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k-3:HONEST_ERROR,0.0148489642101219,0.0147924280587266,0.3154644348449449,-3,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+0:HONEST_ERROR,-0.00031250691386919467,0.01122563660965923,0.9777908151253096,0,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+1:HONEST_ERROR,-0.004100570071609914,0.011328106084835704,0.7173655096003668,1,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+2:HONEST_ERROR,0.006569282506249103,0.014052395342387464,0.6401529993525819,2,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+3:HONEST_ERROR,-0.00835103283996073,0.013746636664607698,0.5435215042762627,3,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+4:HONEST_ERROR,-0.010354395746219663,0.016080458222582156,0.5196326719919862,4,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+5:HONEST_ERROR,0.0010831729315534974,0.014157469359298128,0.9390142041049241,5,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k+6:HONEST_ERROR,-0.009096255816870433,0.01567018013050614,0.5615896942947445,6,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),active,subgroup_contrast,,,
k-3:AUTHOR_MISCONDUCT,0.6308673433615521,0.22712624136555762,0.005476087690829745,-3,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+0:AUTHOR_MISCONDUCT,-0.19398767205337464,0.2702619882677191,0.472895178356902,0,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+1:AUTHOR_MISCONDUCT,0.21834788688097387,0.30899296092782697,0.47978800985829895,1,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+2:AUTHOR_MISCONDUCT,-0.040130931847730145,0.35651187898996206,0.9103750516605873,2,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+3:AUTHOR_MISCONDUCT,-0.3792119649593022,0.5101949684123064,0.45731900089391786,3,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+4:AUTHOR_MISCONDUCT,0.30832306672196985,0.6704645881347371,0.6456132642491572,4,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+5:AUTHOR_MISCONDUCT,0.9885612921707403,0.738460850552922,0.18067552230731332,5,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+6:AUTHOR_MISCONDUCT,0.27918652379550496,1.2673800503951729,0.8256481511623246,6,AUTHOR_MISCONDUCT,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k-3:HONEST_ERROR,0.5898635294291086,0.24646475106872612,0.016697685249666083,-3,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+0:HONEST_ERROR,-0.009697301562708982,0.32991529484405596,0.9765509106983143,0,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+1:HONEST_ERROR,0.3694825475489884,0.37445338130466055,0.323777425106734,1,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+2:HONEST_ERROR,0.38026929061852527,0.39754009817980096,0.3387915022220782,2,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+3:HONEST_ERROR,-0.09900864325907066,0.541644455209183,0.8549606899180324,3,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+4:HONEST_ERROR,0.7131947978200216,1.1124379521979602,0.5214513914371879,4,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+5:HONEST_ERROR,0.7404011519428915,0.7963652906146412,0.35251320597746316,5,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k+6:HONEST_ERROR,0.2295177990663542,1.3137623945620265,0.8613132690933278,6,HONEST_ERROR,7825.0,78250.0,career_band,veteran (20y+),publications,subgroup_contrast,,,
k-3:AUTHOR_MISCONDUCT,0.08100021476405228,0.027820916167396504,0.0035971374424130786,-3,AUTHOR_MISCONDUCT,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+0:AUTHOR_MISCONDUCT,0.02313106464398018,0.06352110516291339,0.7157477154771497,0,AUTHOR_MISCONDUCT,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+1:AUTHOR_MISCONDUCT,-0.03951170464085575,0.06112039466156411,0.5179834609155194,1,AUTHOR_MISCONDUCT,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+2:AUTHOR_MISCONDUCT,-0.012314766004803107,0.05924363700159092,0.8353332262659321,2,AUTHOR_MISCONDUCT,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+3:AUTHOR_MISCONDUCT,-0.07056463421777077,0.054277928916143636,0.19357996407212297,3,AUTHOR_MISCONDUCT,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+4:AUTHOR_MISCONDUCT,-0.053090649954118746,0.04608419497560171,0.24930629537555338,4,AUTHOR_MISCONDUCT,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+5:AUTHOR_MISCONDUCT,-0.0878531404361666,0.05344519608752189,0.10021780319120177,5,AUTHOR_MISCONDUCT,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+6:AUTHOR_MISCONDUCT,-0.07701731779222562,0.04823342784940274,0.11031870898963803,6,AUTHOR_MISCONDUCT,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k-3:HONEST_ERROR,0.025037792894935927,0.03760701610152762,0.5055552368805063,-3,HONEST_ERROR,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+0:HONEST_ERROR,0.06018518518518574,0.06738265978275346,0.37175807610178246,0,HONEST_ERROR,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+1:HONEST_ERROR,-0.05205971277399846,0.06633203828640055,0.4325502499278868,1,HONEST_ERROR,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+2:HONEST_ERROR,0.010487528344671197,0.062487158424983855,0.866713135989919,2,HONEST_ERROR,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+3:HONEST_ERROR,-0.0031179138321993996,0.059510369027737445,0.9582157248005834,3,HONEST_ERROR,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+4:HONEST_ERROR,-0.02787226001511703,0.05116471608290134,0.5859216944783532,4,HONEST_ERROR,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+5:HONEST_ERROR,-0.06755479969765654,0.059899304721877225,0.2594018276038359,5,HONEST_ERROR,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k+6:HONEST_ERROR,-0.04091080876795146,0.05698936155598593,0.47283900749819363,6,HONEST_ERROR,1387.0,13870.0,subject_group,B/T,active,subgroup_contrast,,,
k-3:AUTHOR_MISCONDUCT,0.3567719010523418,0.4466782404201143,0.4244514149206875,-3,AUTHOR_MISCONDUCT,1387.0,13870.0,subject_group,B/T,publications,subgroup_contrast,,,
