author_id,author_display_name,first_retraction_year,first_category,first_position,n_retractions,n_categories,works_count,cited_by_count,first_pub_year,last_pub_year,career_span,last_country,last_institution,country,source_id,rw_journal,rw_publisher
A5000183206,Maibam Mangalleibi Chanu,2022.0,EDITORIAL_COMPROMISE,first,1,1,13.0,105.0,2019.0,2025.0,6.0,IN,National Institute of Technology Manipur,IN,S48031226,Journal of Ambient Intelligence and Humanized Computing,Springer
A5000184114,Vibha Tandon,2019.0,AUTHOR_MISCONDUCT,last,2,1,138.0,3128.0,1982.0,2026.0,44.0,IN,Jawaharlal Nehru University,IN,S140251998,The Journal of Biological Chemistry,American Society for Biochemistry and Molecular Biology (ASBMB)
A5000185193,Сhen Liu,2015.0,AUTHOR_MISCONDUCT,first,1,1,114.0,1129.0,1983.0,2026.0,43.0,,,CN,S107629180,Lithos,Elsevier
A5000186350,Shiba P. Adhikari,2022.0,AUTHOR_MISCONDUCT,middle,1,1,51.0,2565.0,2012.0,2026.0,14.0,US,Argonne National Laboratory,US,S64187185,Nature Communications,Springer - Nature Publishing Group
A5000188201,Valerie A. Lewis,2017.0,HONEST_ERROR,middle,1,1,96.0,3290.0,1998.0,2026.0,28.0,US,University of North Carolina at Chapel Hill,US,S65364685,JAMA Internal Medicine,American Medical Association
A5000192547,Li Tian,2021.0,AUTHOR_MISCONDUCT,first,1,1,62.0,629.0,1999.0,2026.0,27.0,CN,Chambroad Chemical Industry Research Institute (China),CN,S38407038,Arabian Journal of Geosciences,Springer
A5000197256,Menaka Pandey,2019.0,AUTHOR_MISCONDUCT,first,2,2,9.0,92.0,2008.0,2019.0,11.0,IN,National Chemical Laboratory,IN,S2481244646,RSC Advances,Royal Society of Chemistry (RSC)
A5000202658,Ji Xian,2022.0,EDITORIAL_COMPROMISE,first,1,1,94.0,197.0,1999.0,2026.0,27.0,CA,Optiwave Systems (Canada),CN,S110206669,Multimedia Tools and Applications,Springer - Nature Publishing Group
A5000208713,Abhinav K. Jain,2017.0,AUTHOR_MISCONDUCT,middle,5,1,132.0,4505.0,1981.0,2026.0,45.0,US,The University of Texas MD Anderson Cancer Center,US,S140251998,The Journal of Biological Chemistry,American Society for Biochemistry and Molecular Biology (ASBMB)
A5000212566,Qihong Wang,2021.0,AUTHOR_MISCONDUCT,middle,1,1,132.0,1777.0,2002.0,2026.0,24.0,CN,Jiangsu University,CN,S33948212,Cellular and Molecular Neurobiology,Springer
A5000213083,Fuxia Li,2020.0,AUTHOR_MISCONDUCT,middle,2,1,37.0,654.0,2016.0,2026.0,10.0,CN,Shandong University,CN,S180401253,Pharmacological Reports,Springer
