Record ID,Title,Journal,Publisher,Category,RetractionYear,OriginalPaperDOI
21330.0,Time course changes of oxidative stress and inflammation in hyperoxia-induced acute lung injury in rats,Iranian Journal of Basic Medical Sciences,Mashhad University of Medical Sciences (MUMS),AUTHOR_MISCONDUCT,2019.0,10.22038/IJBMS.2015.3895
31053.0,System-dynamic model of informing the population in case of an accident at a chemically hazardous facility,Information and Management Systems (Информационно-Управляющие Системы),LLC Information and Control Systems (St. Petersburg) (ООО Информационно-управляющие системы (Санкт-Петербург)),AUTHOR_MISCONDUCT,2019.0,10.15217/issn1684-8853.2015.2.67
25558.0,Application of the Methodology of Selecting Enterprises for Financial Recovery Procedures with the Participation of the Tax Body for Enterprises in Perm,"Economy and Management: Research, Innovation, Practice (ЭКОНОМИКА И МЕНЕДЖМЕНТ: ИССЛЕДОВАНИЯ. ИННОВАЦИИ. ПРАКТИКА)",Scientific and Educational Technologies Limited Liability Company (Samara) (Общество с ограниченной ответственностью Научно-Образовательные Технологии (Самара)),HONEST_ERROR,2020.0,10.18411/emiip-06-2019-04
23011.0,Modal Analysis and Design of Silicon Nitride Rib Waveguides for Evanescent-wave Bimodal Biosensors,Current Optics aand Photonics,Optica (formerly Optical Society of America -OSA-),AUTHOR_MISCONDUCT,2020.0,10.3807/COPP.2020.4.1.081
25429.0,Diffusion of the Object of Socio-Economic Geography Study,Moscow Economic Journal (МОСКОВСКИЙ ЭКОНОМИЧЕСКИЙ ЖУРНАЛ),Fomin Alexander Anatolyevich (Moscow) (Фомин Александр Анатольевич (Москва)),HONEST_ERROR,2020.0,10.24411/2413-046X-2019-10206
23559.0,Instrumental-pharmacological combination in preventing wound infection in emergency abdominal surgery (review): [ИНСТРУМЕНТАЛЬНО-ФАРМАКОЛОГИЧЕСКАЯ КОМБИНАЦИЯ В ПРЕДУПРЕЖДЕНИИ РАНЕВОЙ ИНФЕКЦИИ В НЕОТЛОЖНОЙ АБДОМИНАЛЬНОЙ ХИРУРГИИ (ОБЗОР)],Bulletin of New Medical Technologies (Вестник Новых Медицинских Технологий),Tula State University (Тульский государственный университет),EDITORIAL_COMPROMISE,2020.0,10.24411/1609-2163-2020-16417
23449.0,Quantic approach to mind-matter interaction,Life Research,TMR Publishing Group,AUTHOR_MISCONDUCT,2020.0,10.12032/LR2020-0001
33276.0,Implementation of the Methodology of Literary Rally in the Process of Formation of Communicative-Compensator Competence of Students at the Level of Basic Education,Colloquium-Journal,Holopristansky regional employment center (Golaya Pristan) (Голопристанский районный центр занятости (Голая Пристань)),HONEST_ERROR,2020.0,10.24411/2520-6990-2019-11251
33251.0,Historical Stages and Background of the Development of Legislation on Criminal Liability for Crimes Against Justice,Legal Science and Practice: Bulletin of the Nizhegorod Academy of the MIA of Russia (ЮРИДИЧЕСКАЯ НАУКА И ПРАКТИКА: ВЕСТНИК НИЖЕГОРОДСКОЙ АКАДЕМИИ МВД РОССИИ),Nizhny Novgorod Academy of the Ministry of Internal Affairs of the Russian Federation (Нижегородская академия Министерства внутренних дел Российской Федерации),AUTHOR_MISCONDUCT,2020.0,10.36511/2078-5356-2020-1-58-62
25928.0,Peculiarities of Cytokine Balance in Extrapulmonary Forms of Tuberculosis Before and During Treatment,Bulletin of Avicenna (Вестник Авиценны),Tajik State Medical University named after Abu Ali Ibn Sina (Dushanbe) (Таджикский государственный медицинский университет им. Абу Али Ибн Сины (Душанбе)),AUTHOR_MISCONDUCT,2020.0,10.25005/2074-0581-2018-20-2-3-254-260
33248.0,"Amendments to the Constitution of the Russian Federation: Objectives, Procedure of Acceptance and Consequences",Modern Science: Topical Problems of Theory and Practice. Series: Economy and Law (Современная Наука: Актуальные Проблемы Теории И Практики. Серия: Экономика И Право),Scientific Technologies LLC (Moscow) (ООО Научные технологии (Москва)),AUTHOR_MISCONDUCT,2020.0,10.37882/2223-2974.2020.04.10
28049.0,Mitochondrial protein UCP1 mediates liver injury induced by LPS through EKR signaling pathway,European Review for Medical and Pharmacological Sciences,Verduci Editore,AUTHOR_MISCONDUCT,2020.0,10.26355/eurrev_201708_13284
33109.0,To the Question about the Expansion of Expanding the Authority of the FAS of Russia,Colloquium-Journal,Holopristansky regional employment center (Golaya Pristan) (Голопристанский районный центр занятости (Голая Пристань)),UNCONFIRMED_CONCERNS,2020.0,10.24411/2520-6990-2020-12030
25288.0,Pension Novels: Western Experience and Russian Perspectives,Colloquium-Journal,Holopristansky regional employment center (Golaya Pristan) (Голопристанский районный центр занятости (Голая Пристань)),AUTHOR_MISCONDUCT,2020.0,10.24411/2520-6990-2019-10791
24022.0,SARS-CoV-2 was Unexpectedly Deadlier than Push-scooters: Could Hydroxychloroquine be the Unique Solution,Asian Journal of Medicine and Health,Asian Journal of Medicine and Health,AUTHOR_MISCONDUCT,2020.0,10.9734/AJMAH/2020/v18i930232
25221.0,Rice Tolerance to Drought is Complex Both Physiologically and Genetically,BioRxiv,Cold Spring Harbor Laboratory Press,AUTHOR_MISCONDUCT,2020.0,10.1101/2020.08.19.258293v1
25219.0,A restriction-free method for gene reconstitution,BioRxiv,Cold Spring Harbor Laboratory Press,AUTHOR_MISCONDUCT,2020.0,10.1101/2020.05.20.107631v1
25218.0,A simple and efficient method for in vitro site directed mutagenesis,BioRxiv,Cold Spring Harbor Laboratory Press,AUTHOR_MISCONDUCT,2020.0,10.1101/2020.05.16.100107v1
25217.0,Efficient Method for Genomic DNA Mutagenesis,BioRxiv,Cold Spring Harbor Laboratory Press,AUTHOR_MISCONDUCT,2020.0,10.1101/2020.05.16.097097v1
25222.0,ITS2 Pretrial Gene Identification Related to Seed and Flower Identification for Cyclea barbata,BioRxiv,Cold Spring Harbor Laboratory Press,AUTHOR_MISCONDUCT,2020.0,10.1101/2020.08.20.259804v1
25220.0,Efficient Method for Protein Crystallization,BioRxiv,Cold Spring Harbor Laboratory Press,AUTHOR_MISCONDUCT,2020.0,10.1101/2020.05.24.113860v1
25100.0,Conceptual Problems With Evaluation of Guilt in the Existing Criminal Code of the Russian Federation (Statement of the Problem),Man: Crime and Punishment (ЧЕЛОВЕК: ПРЕСТУПЛЕНИЕ И НАКАЗАНИЕ),Academy of Law and Management of the Federal Penitentiary Service (Ryazan) (Академия права и управления Федеральной службы исполнения наказаний (Рязань)),AUTHOR_MISCONDUCT,2020.0,10.33463/1999-9917.2019.27(1-4).4.442-449
32877.0,Assessment of Indicators to Determine the Efficiency and Degree of Preparedness of Countries for Digital Transition in the Power Industry,"Economy and Management: Problems, Solutions (ЭКОНОМИКА И УПРАВЛЕНИЕ: ПРОБЛЕМЫ, РЕШЕНИЯ)",Scientific Library Publishing House LLC (Moscow) (ООО Издательский дом Научная библиотека (Москва)),AUTHOR_MISCONDUCT,2020.0,10.34684/ek.up.pr2020.11.01.002
24723.0,Preparation and characterization of crosslinked and non-crosslinked polycaprolactone fumarate (PCLF) NPs as carriers for doxorubicin HCl,African Journal of Pharmacy and Pharmacology,Academic Journals,AUTHOR_MISCONDUCT,2020.0,10.5897/AJPP11.288
24776.0,"Crisis of the nomological model, expectation of diligence and criminally relevant conduct. Comparative aspects on the definition of punishable fault",Journal of Humanities Insights,Iranian-Australian Community of Science,AUTHOR_MISCONDUCT,2020.0,10.22034/jhi.2019.80908
26601.0,Ockham and Bradwardine on Propositions De incipit et destinit,Recherches de Theologie et Philosophie Medievales,Peeters Publishers,AUTHOR_MISCONDUCT,2021.0,10.2143/RTPM.86.1.3285916
25241.0,Crathorn on Extension,Recherches de Theologie et Philosophie Medievales,Peeters Publishers,AUTHOR_MISCONDUCT,2021.0,10.2143/RTPM.83.2.3194387
32819.0,"Middle Eastern Policy Component of the US, PRC and Russian Federation: Politics of the United States of America","Economy and Management: Problems, Solutions (ЭКОНОМИКА И УПРАВЛЕНИЕ: ПРОБЛЕМЫ, РЕШЕНИЯ)",Scientific Library Publishing House LLC (Moscow) (ООО Издательский дом Научная библиотека (Москва)),AUTHOR_MISCONDUCT,2021.0,10.36871/ek.up.pr2020.12.06.011
27463.0,Novel Genotoxic Strategies for Efficiently Detect Chemicals’ Carcinogenicity,Journal of Environmental Health Sciences,Korean Society of Environmental Health (KSEH),AUTHOR_MISCONDUCT,2021.0,10.5668/JEHS.2018.44.1.31
26401.0,Review of the Emerging Evidence Demonstrating the Efficacy of Ivermectin in the Prophylaxis and Treatment of COVID-19,Frontiers in Pharmacology,Frontiers,UNCLASSIFIED,2021.0,10.3389/fphar.2021.643369
32809.0,Transformation of the Enterprise Management System: From Hiring Employees to Human Capital,"Economy and Management: Problems, Solutions (ЭКОНОМИКА И УПРАВЛЕНИЕ: ПРОБЛЕМЫ, РЕШЕНИЯ)",Scientific Library Publishing House LLC (Moscow) (ООО Издательский дом Научная библиотека (Москва)),AUTHOR_MISCONDUCT,2021.0,10.36871/ek.up.pr2020.12.05.005
32733.0,The Judicial Fine as the Alternative to the Criminal Prosecution,International Journal of Psychosocial Rehabilitation,Hampstead Psychological Associates,UNCONFIRMED_CONCERNS,2021.0,10.37200/IJPR/V24I8/PR281338
30127.0,Thermal and mechanical characteristics of cement nanocomposites,Science and Engineering of Composite Materials,De Gruyter,AUTHOR_MISCONDUCT,2021.0,10.1515/secm.2012.0053
33713.0,On the short periods oscillations in relativistic stars,Nuovo Cimento della Societa Italiana di Fisica B,Editrice Compositori,AUTHOR_MISCONDUCT,2021.0,10.1393/ncb/i2009-10803-x
38104.0,The Use of Digital Technologies for Teaching Dentistry,International Journal of Emerging Technologies in Learning (iJET),International Association of Online Engineering,AUTHOR_MISCONDUCT,2022.0,10.3991/ijet.v16i08.1921710.3991/ijet.v16i08.19217
39940.0,"HOXB13, a Target of DNMT3B, Is Methylated at an Upstream CpG Island, and Functions as a Tumor Suppressor in Primary Colorectal Tumors",PLoS One,PLoS,AUTHOR_MISCONDUCT,2022.0,10.1371/journal.pone.001033
